,Y2Z0,Y0Z2,Y5Z1,Y1Z5,Y4Z3,Y3Z4,Y2Z1,Y1Z2,Y5Z4,Y4Z5,Y0Z1,Y1Z0,Y5Z3,Y3Z5,Y0Z4,Y4Z0,Y4Z1,Y1Z4,Y2Z5,Y5Z2,Y3Z1,Y1Z3,Y2Z4,Y4Z2,Y3Z0,Y0Z3,Y3Z2,Y2Z3,Y5Z0,Y0Z5,Y1,X4Y1,Y2,Y0,X5Y2,X5Y0,X4Y5,X3Y0,X2Y5,X2Y3,X1Y2,X0Y5,X0Y3,X0Y2,X2Y1,X0Y1,X1Y0,Y3,X4Y3,X0Y4,X5Y3,X5Y1,X3Y1,X1Y4,X1Y5,X1Y3,standard_y,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8567640368634464,0.8567640368634462,0.8186494184814271,0.818649418481427,0.8115833565754773,0.8115833565754771,0.6497929261044666,0.6497929261044664,0.6261524834274568,0.6261524834274568,0.4961561698004127,0.49615616980041255,0.47544158835762285,0.47544158835762285,0.37842203702330174,0.3784220370233017,0.30895576687692106,0.30895576687692106,0.3013103050049146,0.3013103050049144,0.1891858143645356,0.18918581436453558,0.1535389226142835,0.15353892261428348,0.08869422322595291,0.08869422322595288,0.054617199380894155,0.054617199380894155,0.049161322058424606,0.04916132205842458,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.214306433183765e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00010391731121101686,0.00010391731121101684,0.8186494184814272,0.8186494184814272,0.8115833565754773,0.8115833565754772,7.881368827281605e-05,0.1536367599536242,0.6261524834274568,0.6261524834274568,6.0179014160270214e-05,0.15363675152437922,0.47544158835762285,0.47544158835762285,4.58989860667145e-05,0.2248831155384028,0.308955766876921,0.3089557668769211,3.654606798262777e-05,0.2521489833081053,0.18918581436453571,0.18918581436453563,1.8622807818502946e-05,0.22488311162546346,0.03407702424680588,1.0757763866155081e-05,0.034077023192651656,6.62454568741795e-06,0.25214898073014513,5.9627997722604825e-06,4.163336342344337e-17,2.7755575615628914e-17,6.776263578034403e-21,0.0,1.3552527156068805e-20,6.776263578034403e-21,0.0,3.3881317890172014e-21,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,5.082197683525802e-21,1.6940658945086007e-21,5.082197683525802e-21,2.7755575615628914e-17,2.7755575615628914e-17,3.3881317890172014e-21,0.0,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.388456407139249e-17,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.484294100827534e-06,2.4842941008275337e-06,9.969521855213192e-06,9.969521855213192e-06,0.8115833565754772,0.8115833565754772,1.0104687902907658e-06,1.8709901518031455e-06,7.625292008153635e-06,0.31719671657344545,1.296117268670754e-06,1.8709901517444781e-06,5.789933027499159e-06,0.2862557740071157,1.0972818579568425e-06,0.22488311440966371,0.3171967165041053,3.7624668150222308e-06,1.0104687900862667e-06,3.070673159360342e-06,0.2862557739578323,2.303906981943742e-06,4.4520524121727835e-07,0.2248831144074274,0.034077023845288365,2.5717995393967963e-07,0.03407702384468589,1.5836937638326962e-07,3.0706731593423998e-06,1.296117268553504e-06,3.705769144237564e-22,1.5881867761018131e-22,2.117582368135751e-22,0.0,1.6155871338926322e-27,1.6155871338926322e-27,8.470329472543003e-22,1.0587911840678754e-22,0.0,1.5881867761018131e-22,4.8467614016778965e-27,3.2311742677852644e-27,0.0,0.0,8.077935669463161e-28,2.0194839173657902e-28,5.048709793414476e-28,2.7755575615628914e-17,0.0,5.293955920339377e-23,0.0,1.3877787807814457e-17,0.0,3.1763735522036263e-22,6.938893903907228e-18,2.117582368135751e-22,2.6469779601696886e-22,0.0,8.470329472543003e-22,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.799834130487044e-08,6.799834130487043e-08,7.589132334188127e-08,7.589132334188127e-08,4.799817334081911e-06,4.799817334081912e-06,2.76578371509308e-08,1.4242600662316855e-08,1.3971364312133345e-08,1.8759456882375623e-06,3.547640530005435e-08,1.4242600662316527e-08,1.3971364310347396e-08,1.6929566320711981e-06,2.299467522042077e-08,1.3299901506572474e-06,1.8759456882375388e-06,1.1103043607935475e-08,2.7657837150930474e-08,2.3374987587012773e-08,1.6929566320711812e-06,1.1103043607127866e-08,7.851068450048618e-09,1.3299901506572379e-06,2.0153627895426815e-07,2.2994675219772413e-08,2.0153627895426508e-07,7.851068449759696e-09,2.337498758701268e-08,3.547640530005416e-08,3.308722450212111e-24,1.262177448353619e-29,3.308722450212111e-24,0.0,0.0,3.944304526105059e-31,5.048709793414476e-29,1.262177448353619e-29,3.944304526105059e-31,1.262177448353619e-29,7.888609052210118e-31,3.944304526105059e-31,1.262177448353619e-29,0.0,3.944304526105059e-31,1.6268961936209434e-32,1.6564657834032368e-31,1.0587911840678754e-22,6.938893903907228e-18,2.524354896707238e-29,0.0,3.469446951953614e-18,0.0,1.262177448353619e-29,6.938893903907228e-18,4.733165431326071e-30,1.0587911840678754e-22,0.0,6.617444900424222e-24,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,7.573064690121713e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.109477003151632e-08,2.109477003151632e-08,6.095232827535543e-08,6.095232827535543e-08,8.765764750185723e-09,8.765764750185721e-09,8.580146266394646e-09,1.1438984495678763e-08,1.1221140262958086e-08,3.425984249536249e-09,1.1005659799762067e-08,1.143898449567874e-08,1.1221140262958083e-08,3.0917967364358826e-09,7.1335179125441805e-09,2.4289217629060963e-09,3.4259842495362204e-09,8.917440479711608e-09,8.580146266394583e-09,1.8773686557257516e-08,3.0917967364358628e-09,8.917440479711608e-09,2.4355959318379333e-09,2.4289217629060943e-09,3.680597587322191e-10,7.1335179125441805e-09,3.6805975873221826e-10,2.4355959318379325e-09,1.877368655725751e-08,1.100565979976203e-08,4.1359030627651384e-25,0.0,8.271806125530277e-25,8.271806125530277e-25,1.9721522630525295e-31,0.0,0.0,0.0,0.0,1.232595164407831e-32,4.930380657631324e-32,0.0,6.162975822039155e-33,6.938893903907228e-18,0.0,3.608905906180339e-32,3.771540582201792e-32,2.0679515313825692e-25,0.0,0.0,1.232595164407831e-32,0.0,1.8488927466117464e-32,1.8488927466117464e-32,3.469446951953614e-18,2.311115933264683e-32,2.0679515313825692e-25,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8488927466117464e-32,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,1.8488927466117464e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.9350400821236313e-09,2.935040082123631e-09,2.624860195708635e-08,2.624860195708635e-08,2.5638421194591532e-08,2.5638421194591526e-08,1.1938064821151059e-09,4.926101419193126e-09,4.832288652476498e-09,1.0020440851300047e-08,1.531282521414455e-09,4.926101419193126e-09,4.8322886524764795e-09,9.042997300963076e-09,9.925285257238273e-10,7.104196950388951e-09,1.0020440851300032e-08,3.840219926801385e-09,1.1938064821151042e-09,8.08472850261571e-09,9.042997300963064e-09,3.840219926801376e-09,3.3887886301303016e-10,7.104196950388951e-09,1.0765143017278043e-09,9.925285257238265e-10,1.0765143017278043e-09,3.3887886301302974e-10,8.08472850261571e-09,1.5312825214144542e-09,1.2407709188295415e-24,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,6.162975822039155e-33,0.0,3.0814879110195774e-33,1.5407439555097887e-32,1.232595164407831e-32,3.0814879110195774e-33,6.938893903907228e-18,1.5407439555097887e-33,2.148980640304238e-33,3.011112717274778e-33,0.0,1.3877787807814457e-17,3.0814879110195774e-33,0.0,3.469446951953614e-18,1.232595164407831e-32,2.465190328815662e-32,3.469446951953614e-18,9.244463733058732e-33,1.2407709188295415e-24,2.229394982978477e-14,0.0,7.011012150727526e-22,0.0,7.615946853889918e-22,3.9598166998724333e-10,2.014277086125608e-24,2.9045003090619224e-24,7.59087875487164e-24,1.1299438663183806e-10,5.837453444149897e-22,6.332410206745808e-22,2.015041195931144e-24,2.2240969083071784e-24,3.242456382356933e-24,1.55356553127235e-23,4.886845059875663e-10,1.764800391664851e-24,0.0,0.0,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,4.930380657631324e-32,4.2698108386621784e-16,0.0,0.0,3.944304526105059e-31,7.888609052210118e-31,3.944304526105059e-31,0.0,0.0,5.767242529420054e-22,1.1637639861513663e-14,7.888609052210118e-31,7.888609052210118e-31,3.944304526105059e-31,0.0,3.944304526105059e-31,0.0,6.938893903907228e-18,9.244463733058732e-33,6.020037597998487e-22,3.9598166998715544e-10,1.1418852329787055e-14,0.0,3.851859888774472e-34,1.925929944387236e-34,0.0,0.0,6.162975822039155e-33,6.938893903907228e-18,2.8524985302566704e-24,4.0332881046117125e-23,3.89151434886471e-23,3.1413964312169876e-17,3.697785493223493e-32,4.622231866529366e-33,1.0785207688568521e-32,1.232595164407831e-32,1.232595164407831e-32,1.1299438663184039e-10,6.053578614884659e-22,5.745809114530994e-22,2.6732016944167987e-24,4.039265372982566e-16,0.0,0.0,0.0,0.0,6.162975822039155e-33,2.772855697236613e-24,3.928109258332432e-23,3.978717854530077e-23,4.886845059875663e-10,2.9254917410815817e-24,3.695129533635707e-17
6,2.2773835313845456e-08,2.2773835313845446e-08,1.4775346074985669e-08,1.4775346074985662e-08,2.1954572508744568e-08,2.1954572508744895e-08,9.26309401560853e-09,2.7729039964891128e-09,2.7200967613930704e-09,8.580656880925322e-09,1.188166941026253e-08,2.772903996489106e-09,2.720096761393063e-09,7.743657007329346e-09,7.70131942210938e-09,6.0834325904828035e-09,8.580656880925318e-09,2.1616609720895357e-09,9.263094015608528e-09,4.550896148440346e-09,7.743657007329343e-09,2.1616609720895332e-09,2.629460314565079e-09,6.083432590482799e-09,9.218356744590041e-10,7.701319422109376e-09,9.218356744590028e-10,2.629460314565078e-09,4.550896148440344e-09,1.1881669410262528e-08,4.1359030627651384e-25,9.244463733058732e-33,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,1.232595164407831e-32,1.9217145458809028e-33,7.160711779376852e-33,8.271806125530277e-25,6.938893903907228e-18,0.0,0.0,0.0,1.5407439555097887e-32,9.244463733058732e-33,3.469446951953614e-18,2.311115933264683e-33,1.2407709188295415e-24,8.787335418680298e-14,8.271806125530277e-25,1.1145159894846668e-21,8.271806125530277e-25,9.826855874152963e-22,1.5762974152228087e-09,2.0870375913494292e-23,1.142282878694318e-22,2.266562913710216e-22,4.498005162419226e-10,1.3598086880040452e-21,1.25544084258436e-21,2.7438200566280838e-24,1.1631477013290687e-23,9.915652092732813e-23,4.663325401928987e-22,1.9453226803974156e-09,3.6165747135562374e-24,0.0,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,0.0,8.454341008720868e-16,3.1554436208840472e-30,0.0,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,2.465190328815662e-32,1.8103216022337097e-23,4.4195487354767147e-14,0.0,1.5777218104420236e-30,0.0,0.0,0.0,2.465190328815662e-32,6.938893903907228e-18,0.0,1.4764819320309134e-23,1.5762974152230962e-09,4.323998978190696e-14,9.860761315262648e-32,6.162975822039155e-33,1.232595164407831e-32,9.860761315262648e-32,4.930380657631324e-32,4.930380657631324e-32,1.3877787807814457e-17,8.021415295013792e-24,1.2475006710267887e-21,1.199167790954403e-21,9.703043218966697e-16,0.0,1.232595164407831e-32,1.232595164407831e-32,4.930380657631324e-32,4.930380657631324e-32,4.498005162419195e-10,6.638834192481668e-24,2.542653679434212e-23,5.909292658649527e-24,8.283327741452521e-16,9.860761315262648e-32,4.930380657631324e-32,0.0,0.0,0.0,4.468631000408455e-24,1.2155666408449394e-21,1.2358562248490037e-21,1.945322680397427e-09,6.460314804422319e-24,1.1413396032495488e-15
7,2.2773835313845456e-08,2.2773835313845446e-08,1.4775346074985669e-08,1.4775346074985662e-08,2.1954572508744568e-08,2.1954572508744895e-08,9.26309401560853e-09,2.7729039964891128e-09,2.7200967613930704e-09,8.580656880925322e-09,1.188166941026253e-08,2.772903996489106e-09,2.720096761393063e-09,7.743657007329346e-09,7.70131942210938e-09,6.0834325904828035e-09,8.580656880925318e-09,2.1616609720895357e-09,9.263094015608528e-09,4.550896148440346e-09,7.743657007329343e-09,2.1616609720895332e-09,2.629460314565079e-09,6.083432590482799e-09,9.218356744590041e-10,7.701319422109376e-09,9.218356744590028e-10,2.629460314565078e-09,4.550896148440344e-09,1.1881669410262528e-08,4.1359030627651384e-25,9.244463733058732e-33,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,1.232595164407831e-32,1.9217145458809028e-33,7.160711779376852e-33,8.271806125530277e-25,6.938893903907228e-18,0.0,0.0,0.0,1.5407439555097887e-32,9.244463733058732e-33,3.469446951953614e-18,2.311115933264683e-33,1.2407709188295415e-24,8.787335418680298e-14,8.271806125530277e-25,1.1145159894846668e-21,8.271806125530277e-25,9.826855874152963e-22,1.5762974152228087e-09,2.0870375913494292e-23,1.142282878694318e-22,2.266562913710216e-22,4.498005162419226e-10,1.3598086880040452e-21,1.25544084258436e-21,2.7438200566280838e-24,1.1631477013290687e-23,9.915652092732813e-23,4.663325401928987e-22,1.9453226803974156e-09,3.6165747135562374e-24,0.0,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,0.0,8.454341008720868e-16,3.1554436208840472e-30,0.0,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,2.465190328815662e-32,1.8103216022337097e-23,4.4195487354767147e-14,0.0,1.5777218104420236e-30,0.0,0.0,0.0,2.465190328815662e-32,6.938893903907228e-18,0.0,1.4764819320309134e-23,1.5762974152230962e-09,4.323998978190696e-14,9.860761315262648e-32,6.162975822039155e-33,1.232595164407831e-32,9.860761315262648e-32,4.930380657631324e-32,4.930380657631324e-32,1.3877787807814457e-17,8.021415295013792e-24,1.2475006710267887e-21,1.199167790954403e-21,9.703043218966697e-16,0.0,1.232595164407831e-32,1.232595164407831e-32,4.930380657631324e-32,4.930380657631324e-32,4.498005162419195e-10,6.638834192481668e-24,2.542653679434212e-23,5.909292658649527e-24,8.283327741452521e-16,9.860761315262648e-32,4.930380657631324e-32,0.0,0.0,0.0,4.468631000408455e-24,1.2155666408449394e-21,1.2358562248490037e-21,1.945322680397427e-09,6.460314804422319e-24,1.1413396032495488e-15
8,2.2773835313845456e-08,2.2773835313845446e-08,1.4775346074985669e-08,1.4775346074985662e-08,2.1954572508744568e-08,2.1954572508744895e-08,9.26309401560853e-09,2.7729039964891128e-09,2.7200967613930704e-09,8.580656880925322e-09,1.188166941026253e-08,2.772903996489106e-09,2.720096761393063e-09,7.743657007329346e-09,7.70131942210938e-09,6.0834325904828035e-09,8.580656880925318e-09,2.1616609720895357e-09,9.263094015608528e-09,4.550896148440346e-09,7.743657007329343e-09,2.1616609720895332e-09,2.629460314565079e-09,6.083432590482799e-09,9.218356744590041e-10,7.701319422109376e-09,9.218356744590028e-10,2.629460314565078e-09,4.550896148440344e-09,1.1881669410262528e-08,4.1359030627651384e-25,9.244463733058732e-33,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,1.232595164407831e-32,1.9217145458809028e-33,7.160711779376852e-33,8.271806125530277e-25,6.938893903907228e-18,0.0,0.0,0.0,1.5407439555097887e-32,9.244463733058732e-33,3.469446951953614e-18,2.311115933264683e-33,1.2407709188295415e-24,8.787335418680298e-14,8.271806125530277e-25,1.1145159894846668e-21,8.271806125530277e-25,9.826855874152963e-22,1.5762974152228087e-09,2.0870375913494292e-23,1.142282878694318e-22,2.266562913710216e-22,4.498005162419226e-10,1.3598086880040452e-21,1.25544084258436e-21,2.7438200566280838e-24,1.1631477013290687e-23,9.915652092732813e-23,4.663325401928987e-22,1.9453226803974156e-09,3.6165747135562374e-24,0.0,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,0.0,8.454341008720868e-16,3.1554436208840472e-30,0.0,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,2.465190328815662e-32,1.8103216022337097e-23,4.4195487354767147e-14,0.0,1.5777218104420236e-30,0.0,0.0,0.0,2.465190328815662e-32,6.938893903907228e-18,0.0,1.4764819320309134e-23,1.5762974152230962e-09,4.323998978190696e-14,9.860761315262648e-32,6.162975822039155e-33,1.232595164407831e-32,9.860761315262648e-32,4.930380657631324e-32,4.930380657631324e-32,1.3877787807814457e-17,8.021415295013792e-24,1.2475006710267887e-21,1.199167790954403e-21,9.703043218966697e-16,0.0,1.232595164407831e-32,1.232595164407831e-32,4.930380657631324e-32,4.930380657631324e-32,4.498005162419195e-10,6.638834192481668e-24,2.542653679434212e-23,5.909292658649527e-24,8.283327741452521e-16,9.860761315262648e-32,4.930380657631324e-32,0.0,0.0,0.0,4.468631000408455e-24,1.2155666408449394e-21,1.2358562248490037e-21,1.945322680397427e-09,6.460314804422319e-24,1.1413396032495488e-15
9,2.2773835313845456e-08,2.2773835313845446e-08,1.4775346074985669e-08,1.4775346074985662e-08,2.1954572508744568e-08,2.1954572508744895e-08,9.26309401560853e-09,2.7729039964891128e-09,2.7200967613930704e-09,8.580656880925322e-09,1.188166941026253e-08,2.772903996489106e-09,2.720096761393063e-09,7.743657007329346e-09,7.70131942210938e-09,6.0834325904828035e-09,8.580656880925318e-09,2.1616609720895357e-09,9.263094015608528e-09,4.550896148440346e-09,7.743657007329343e-09,2.1616609720895332e-09,2.629460314565079e-09,6.083432590482799e-09,9.218356744590041e-10,7.701319422109376e-09,9.218356744590028e-10,2.629460314565078e-09,4.550896148440344e-09,1.1881669410262528e-08,4.1359030627651384e-25,9.244463733058732e-33,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,1.232595164407831e-32,1.9217145458809028e-33,7.160711779376852e-33,8.271806125530277e-25,6.938893903907228e-18,0.0,0.0,0.0,1.5407439555097887e-32,9.244463733058732e-33,3.469446951953614e-18,2.311115933264683e-33,1.2407709188295415e-24,8.787335418680298e-14,8.271806125530277e-25,1.1145159894846668e-21,8.271806125530277e-25,9.826855874152963e-22,1.5762974152228087e-09,2.0870375913494292e-23,1.142282878694318e-22,2.266562913710216e-22,4.498005162419226e-10,1.3598086880040452e-21,1.25544084258436e-21,2.7438200566280838e-24,1.1631477013290687e-23,9.915652092732813e-23,4.663325401928987e-22,1.9453226803974156e-09,3.6165747135562374e-24,0.0,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,0.0,8.454341008720868e-16,3.1554436208840472e-30,0.0,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,2.465190328815662e-32,1.8103216022337097e-23,4.4195487354767147e-14,0.0,1.5777218104420236e-30,0.0,0.0,0.0,2.465190328815662e-32,6.938893903907228e-18,0.0,1.4764819320309134e-23,1.5762974152230962e-09,4.323998978190696e-14,9.860761315262648e-32,6.162975822039155e-33,1.232595164407831e-32,9.860761315262648e-32,4.930380657631324e-32,4.930380657631324e-32,1.3877787807814457e-17,8.021415295013792e-24,1.2475006710267887e-21,1.199167790954403e-21,9.703043218966697e-16,0.0,1.232595164407831e-32,1.232595164407831e-32,4.930380657631324e-32,4.930380657631324e-32,4.498005162419195e-10,6.638834192481668e-24,2.542653679434212e-23,5.909292658649527e-24,8.283327741452521e-16,9.860761315262648e-32,4.930380657631324e-32,0.0,0.0,0.0,4.468631000408455e-24,1.2155666408449394e-21,1.2358562248490037e-21,1.945322680397427e-09,6.460314804422319e-24,1.1413396032495488e-15
